,SERIES_ID,SUB_CATEGORY,TITLE,GENRE,SERIES_RATING,SEASON_NUM,SERIES_OVERVIEW,CAST,CREW,LOGO,POSTER,TRAILER
58,31248,시리즈,It's Showtime,,,4,A Philippine noontime musical and party variety show. What began as a search for the country’s most entertaining acts evolves into a hit variety program thriving on spontaneity and animated conversations while drawing talents from all walks of life.,"Vice Ganda, Anne Curtis, Vhong Navarro",,,https://image.tmdb.org/t/p/original/nKxXaAIO2ljugKhKFYQ8LmIJ1x7.jpg,https://www.youtube.com/watch?v=None
59,31911,시리즈,강철의 연금술사 BROTHERHOOD,"애니메이션, 코미디, 드라마",15,1,죽은 어머니를 살리기 위해 시도한 금단의 연금술로 인해 신체의 일부와 전부를 빼앗긴 에드워드와 알폰스 형제. 동생 알폰스의 신체를 되찾기 위해 현자의 돌을 찾아나선다. 강철의 연금술사 오리지널판 이후 제작되어 원작 만화를 더욱 충실히 반영한 리메이크 버전이다.,"박로미, 쿠기미야 리에, 미키 신이치로","Akira Senju, 入江泰浩, 金平和茂",https://image.tmdb.org/t/p/original/gMIqyAOrFP1E6lQ9S093KcNgoHK.png,https://image.tmdb.org/t/p/original/5ZFUEOULaVml7pQuXxhpR2SmVUw.jpg,https://www.youtube.com/watch?v=8nm-Qd0zwJM
60,32608,시리즈,고대의 외계인,"다큐멘터리, 미스터리",12,20,"우주에서 온 지적 생명체가 수천 년 전에 지구를 방문했을까요? 공룡의 시대부터 고대 이집트까지, 초기 동굴 그림에서부터 미국에서 대량 목격까지, 각각의 에피소드는 이 오래된 논쟁을 둘러싼 질문, 추측, 자극적인 논쟁, 직접적인 설명과 근거 있는 이론들에 대한 역사적 깊이를 제공한다.","Robert Clotworthy, Giorgio A. Tsoukalos, Ariel Bar Tzadok",,https://image.tmdb.org/t/p/original/gYxKmkcldSDxaDUXnBKD0XnVVba.png,https://image.tmdb.org/t/p/original/8yR1FK6z1Gx0pyvyXRJrvbxOyuU.jpg,https://www.youtube.com/watch?v=SLHoeKZmV1U
61,32798,시리즈,하와이 파이브 오,"범죄, 드라마",16,10,하와이를 배경으로 범죄 조직에 맞서 싸우는 블록버스터 액션 드라마,"Alex O'Loughlin, Scott Caan, Ian Anthony Dale","Andie Neumann, Talia Gonzalez, Paul Grellong",https://image.tmdb.org/t/p/original/7jdKgmCQK5eNoxB44ptJnM5FCxq.png,https://image.tmdb.org/t/p/original/sIdCKlmM2nU4akIvFQaAIiU8YES.jpg,https://www.youtube.com/watch?v=xy30TGdaEAE
62,34307,시리즈,쉐임리스,"드라마, 코미디",19,11,미국 시카고 후미진 마을에서 힘겹게 살고 있는 싱글 대디 프랭크와 총명하고 독립적인 그의 여섯 자녀들의 리얼한 이야기,"윌리엄 H. 메이시, 제레미 앨런 화이트, Ethan Cutkosky","John Wells, Paul Abbott, Andrew Stearn",https://image.tmdb.org/t/p/original/vmxGfz06Eha0n1UvSckq907wFFz.png,https://image.tmdb.org/t/p/original/9akij7PqZ1g6zl42DQQTtL9CTSb.jpg,https://www.youtube.com/watch?v=9tvkYS5cA58
63,39351,시리즈,그림형제,"드라마, 미스터리",15,6,"훈훈한 외모의, 미모의 약혼녀까지 겸비한 형사 '닉'은 어느날 괴이한 경험을 하게 된다. 다른 사람들 눈에 보이지 않는 사람들의 숨겨진 얼굴이 보이고, 동화 속 인물들이 현실에 존재한다는 사실을 알게 된다. '그림'의 마지막 후손 닉! 인간들을 공격하는 그들로부터 현실세계를 지키기 위해 그의 특별한 수사가 시작된다.","David Giuntoli, Silas Weir Mitchell, Russell Hornsby","Neal Sopata, Richard Marvin, David Greenwalt",https://image.tmdb.org/t/p/original/nOPg4FutzDnPdwlXMDy8hVRuJAr.png,https://image.tmdb.org/t/p/original/iOptnt1QHi6bIHmOq6adnZTV0bU.jpg,https://www.youtube.com/watch?v=ElSANtJSrWQ
64,39852,시리즈,죄인,"범죄, 드라마",16,4,평범한 젊은 엄마가 처음 보는 남자를 칼로 찔러 죽인다. 그녀 자신마저 알 수 없는 이유로. 그녀를 동정하는 형사는 진실을 찾아 사라진 기억의 미궁 속으로 발을 들인다.,"빌 풀먼, 프랜시스 피셔, Alice Kremelberg","David DeMarinis, Daniel Vella, Ashley Nay",https://image.tmdb.org/t/p/original/xbOpER6gqANjw7GpQz3wfMzasRK.png,https://image.tmdb.org/t/p/original/rmibFGdqOe0kKKhPls0jVOdZCWw.jpg,https://www.youtube.com/watch?v=ZEfnpFuzxnE
65,39957,시리즈,퍼셉션,"범죄, 드라마, 미스터리",12,3,편집증에 환영까지 보는 천재 신경학 교수가 제자이자 FBI요원인 여주인공의 수사를 도와주면서 사건을 해결하는 내용을 다룬 드라마.,"Eric McCormack, Rachael Leigh Cook, Kelly Rowan",Arlene Halpenny-Heeley,,https://image.tmdb.org/t/p/original/5L6MsJVdMDbdGZ4P1lGBunOp0VZ.jpg,https://www.youtube.com/watch?v=9E9O-lYfBgQ
66,41149,시리즈,Die Rosenheim-Cops,Crime,12,23,,"Max Muller, Marisa Burger, Igor Jeftic",,,,https://www.youtube.com/watch?v=None
67,45854,시리즈,유희왕 ZEXAL,"애니메이션, 코미디",6,1,"근미래의 마을, 하트랜드 시티에서는 어른도 아이도 AR 듀얼에 열중하고 있다.

AR 듀얼이란, 「D-게이저」와 「D-패드」를 사용하는 듀얼로,

이 2가지를 사용하는 것으로,

지면에서, 하늘에서, 그리고 건물에서

몬스터가 현실에

튀어나와 맞부딪치는,

무지막지 박력 넘치는 듀얼!

이 마을에 사는 주인공 츠쿠모 유마도

이 듀얼에 열중하고 있지만,

실력은 초심자 레벨의 연전연패 챔피언.

어느 사건을 계기로, 학교 제일의 불량배 료가와

듀얼로 승부를 내게 된 유마.

이 듀얼이, 유마의 운명을 크게 바꿔놓는다...!

이 결투 중, 항상 유마의 꿈에 나오는 불길한 문이 돌연 나타난다.

굳게 닫혀 있던 문이 개방된 순간, 무수한 빛이 넘쳐 나와,

놀라서 옆을 올려다보니...

거기에는 이세계에서 온 수수께끼의 생명체 아스트랄이 서 있었다!

아스트랄의 잃어버린 기억, 99장의 넘버즈 카드를 되찾기 위해,

둘은 함께 행동하기로 한다.

아스트랄이 나타난 진정한 이유란?

그리고, 새로운 몬스터 「넘버즈 몬스터」의

존재는 도대체 무엇이란 말인가?

계속해서 유마의 앞에 나타나는 강력한 라이벌,

그리고 밝혀져가는 아스트랄의 수수께끼.

이 콤비에 의한 새로운 듀얼의 전설이 지금, 막을 연다!!","하타나카 타스쿠, 이리노 미유, 谷育子","Wataru Nakagawa, Satoshi Kuwabara, Shin Yoshida",,https://image.tmdb.org/t/p/original/3aZUtzeHQrLgQQdYNqHSbJqj59G.jpg,https://www.youtube.com/watch?v=ajFTuo6LQLc
